순번	코드	물질명	물질요약	영문명	상용명	CAS번호	공단코드	주기	노출기준(TWA)	노출기준(STEL)	분석분류	단축코드	회수율	PAS회수율	FACTOR값	측정방법	측정단위	분류	측정	혼합	특검	사용	특별관리	허가대상	허용기준	안전검사	발암성	생식세포	생식독성	LOD	LOQ	단위	분자량	함유량	비중	계산상수	적용값1	적용값3	기울기	Y절편	채취Media	운반방법	시료보관방법	적정유량	적정총유량	유량평균자릿수	분석파일명	분석장비 물질명	분석정열	분석방법	지침번호1	지침번호2	위험문구	유해.위험문구
180	N0161	"황화니켈(흄, 분진)"		"nickel subsulfide roasting(Fune & dust, as Ni)"	황화니켈	16812-54-7	12019	12	1 ㎎/㎥		"ICP(금속,알칼리)"		0.9171		1	128	㎎/㎥	허가대상유해물질	○	 	○	○		○		○	1A	2													MCE 여과지		DC	2									"H350i,H341,H372**,H317,H400,H410"	"H316,H317,H319,H332,H341,H350,H372,H400,H410"
181	N0162	염화비닐		vinyl chloride	염화비닐	75-01-4	12021	6	1 ppm		GC(유기용제)					15	ppm	허가대상유해물질	○	 	○	○		○	○	○	1A														활성탄		냉장	0.015							A-22-2019		"H220,H350"	"H220,H280,H341,H350"
182	N0163	벤조트리클로라이드		benzotrichloride	벤조트리클로리드	98-07-7	12023	12		C0.1 ppm	의뢰물질					15	ppm	허가대상유해물질	○	 	○	○		○		○	1B														Tenax GC		냉장	0.2						N			"H350,H331,H302,H335,H315,H318"	"H302,H313,H316,H317,H318,H330,H335,H350,H402"
183	N0164	석면(모든 형태)		asbestos(All forms)	석면 및 함유물질	1332-21-4	12025	12	0.1 개/㎤		의뢰물질	413	1		1	06	개/㎤	허가대상유해물질	○	 	○	○		 	○	○	1A														MCE 여과지		DC	2							A-175-2019			"H315,H319,H335,H341,H350"
184	N0165	곡물분진		grain dust	곡물분진		42001	12	4 ㎎/㎥		"GR(분진,금속가공유)"	405				01	㎎/㎥	분진	○	 	○	○				○															PVC 여과지		DC	1										
185	N0166	기타광물성분진		mineral dusts	광물성 분진		41009	24	10 ㎎/㎥		"GR(분진,금속가공유)"	404				01	㎎/㎥	분진	○	 	○	○																			PVC 여과지		DC	1										
186	N0167	면분진		cotton dust	면분진		43001	12	0.2 ㎎/㎥		"GR(분진,금속가공유)"	406				03	㎎/㎥	분진	○	 	○	○																			Quartz 여과지		DC	2										
187	N0169	유리섬유		glass fiber	유리섬유	 	46001	12	5 ㎎/㎥		"GR(분진,금속가공유)"	411				01	㎎/㎥	분진	○	 	○	○																			PVC 여과지		DC	1										
188	N0170	금속가공유		oil mist: Mineral	금속가공유		25001	12	0.8 ㎎/㎥		"GR(분진,금속가공유)"	410				05	㎎/㎥	금속가공유	○	 	○	○																			PTFE 여과지		냉장	2							A-53-2018			
189	N0171	갈석면		"asbestos, amosite"	갈석면	12172-73-5	11017	12			"GR(분진,금속가공유)"	412				06	개/㎤	허가대상유해물질	○	 	○	○		 	○	 																												
190	N0173	암모니아		ammonia	암모니아	7664-41-7	24011	12	25 ppm	35 ppm	의뢰물질	309			1	19	ppm	가스상물질류	○	 	 	○			○					0.1461	0.4822	㎍/Sample									황산처리된 실리카겔		냉장	0.2							A-176-2019		"H221,H331,H314,H400"	"H220,H280,H314,H318,H331,H400"
191	N0174	청석면		"asbestos, crocidolite"	청석면	12001-28-4	11015	12			의뢰물질	414				06	개/㎤	허가대상유해물질	 	 	○	○		 	○	 																												
192	N0175	목재분진(적삼목외 모든종)		"Wood dust(All other species, inhalable fraction)"	목분진		44002	24	1 ㎎/㎥		"GR(분진,금속가공유)"	408				40	㎎/㎥	분진	○	 	○	○					1A														PVC 여과지		DC	2										
193	N0176	목재분진(적삼목)		"Wood dust(Western red cedar, inhalable fraction)"	목분진(적삼목)		44001	24	0.5 ㎎/㎥		"GR(분진,금속가공유)"	409				40	㎎/㎥	분진	○	 	○	○					1A														PVC 여과지		DC	2										
194	N0177	테트라에틸 연		tetraethylene lead	테트라에틸 납	78-00-2		12	0.075 ㎎/㎥		A01					09	㎎/㎥	금속류	 	 	 	○																																
195	N0188	메틸아민		methylamine	메틸아민	74-89-5	21053	12	5 ppm	15 ppm	의뢰물질					13	ppm	유기화합물	○	 	 	○																			10% NBD chloride coated XAD-7		냉장	0.05							A-147-2018		"H220,,H332,H335,H315,H318"	"H220,H280,H301,H314,H318,H332,H335"
196	N0189	"다이메틸아민, 무수물"		"dimethylamine, anhydrous"	"다이메틸아민, 무수물"	124-40-3		12	10 ppm										 	 	 	○																																
197	N0191	2-메틸히프푸 산		2-methylhippuric acid	2-메틸히프푸 산	42013-20-7		임시											 	 	 	○																																
198	N0193	아세틸렌		acetylene	아세틸렌	74-86-2		12											 	 	 	○																																
199	N0194	염화 암모늄 흄		ammonium chloride fume	염화 암모늄	12125-02-9		12	10 ㎎/㎥	20 ㎎/㎥	"IC(산,가스)"					13	㎎/㎥	가스상물질류	 	 	 	○																																
200	N0195	질산 암모늄		ammonium nitrate	질산 암모늄	6484-52-2		12											 	 	 	○																																
201	N0196	"인산암모늄, 이염기성"		"ammonium phosphate, dibasic"	"인산암모늄, 이염기성"	7783-28-0		12											 	 	 	○																																
202	N0197	인산 암모늄		ammonium phosphate	인산 암모늄	7722-76-1		12											 	 	 	○																																
203	N0198	"알곤, 압축된"		"argon, compressed"	"알곤, 압축된"	7440-37-1		12											 	 	 	○																																
204	N0199	벤조일포름 산		benzoylformic acid	벤조일포름 산	611-73-4		12											 	 	 	○																																
205	N0200	보린산		boric acid	보린산	10043-35-3		임시											 	 	 	○																																
206	N0201	물		water	물	7732-18-5		12											 	 	 	○																																
207	N0202	브로모티몰 BLUE		bromothymol blue	브로모티몰 BLUE	76-59-5		12											 	 	 	○																																
208	N0203	크롬산 칼륨		potassium chromate	크롬산 칼륨	7789-00-6		12								13	㎎/㎥	금속류	 	 	 	○																																
209	N0204	아세트산 에틸		ethyl acetate	아세트산 에틸	141-78-6		12	400 ppm										 	 	 	○																																
210	N0205	"나트륨 디에틸이황화 카르보밀산, 삼수화물"		"sodium diethyldithiocarbamate, trihydrate"	"나트륨 디에틸이황화 카르보밀산, 삼수화물"	20624-25-3		12											 	 	 	○																																
211	N0206	아세토아세트산 에틸		ethyl acetoacetate	아세토아세트산 에틸	141-97-9		12											 	 	 	○																																
212	N0207	글루콘 산		gluconic acid	글루콘 산	526-95-4		12	2 ppm										 	 	 	○																																
213	N0208	헬륨		helium	헬륨	7440-59-7		12											 	 	 	○																																
214	N0209	히푸르산		hippuric acid	히푸르산	495-69-2		12											 	 	 	○																																
215	N0212	"히드록시 리튬, 모노수화물"		"lithium hydroxide, monohydrate"	"히드록시 리튬, 모노수화물"	1310-66-3		12											 	 	 	○																																
216	N0213	"질소, 압축가스"		"nitrogen, compressed gas"	"질소, 압축가스"	7727-37-9		12											 	 	 	○																																
217	N0214	아산화질소		nitrous oxide	아산화질소	10024-97-2		12	50 ppm										 	 	 	○																																
218	N0215	염화칼륨		potassium chloride	염화칼륨	7447-40-7		12											 	 	 	○																																
219	N0216	브롬화 칼륨		potassium bromide	브롬화 칼륨	7758-02-3		12											 	 	 	○																																
220	N0217	수산화칼륨		potassium hydroxide	수산화 칼륨	1310-58-3	23013	12		C2 ㎎/㎥	"ICP(금속,알칼리)"	140	95.57		1.4359	128	㎎/㎥	산 및 알카리류	○	○	 	○								0.00242	0.00799	㎍/㎖	56.1		2.04						MCE 여과지		DC	2.5							A-157-2018		"H302,H314"	"H290,H302,H314,H318"
221	N0218	메틸사이클로펜탄		methylcyclopentane	메틸사이클로펜탄	96-37-7		12											 	 	 	○																																
222	N0219	3-메틸펜탄		3-methylpentane	3-메틸펜탄	96-14-0		12	500 ppm	1000 ppm									 	 	 	○																																
223	N0220	수소		hydrogen	수소	215-6-5-7		12											 	 	 	○																																
224	N0221	이탄산 나트륨		sodium bicarbonate	이탄산 나트륨	144-55-8		12											 	 	 	○																																
225	N0222	탄산 나트륨		sodium carbonate	탄산 나트륨	497-19-8		12											 	 	 	○																																
226	N0223	염화 나트륨		sodium chloride	염화 나트륨	7647-14-5		12											 	 	 	○																																
227	N0224	불화 나트륨		sodium fluoride	불화 나트륨	7681-49-4		12	2.5 ㎎/㎥										 	 	 	○																																
228	N0225	수산화나트륨		sodium hydroxide	수산화나트륨	1310-73-2	23011	12		C2 ㎎/㎥	"ICP(금속,알칼리)"	112	97.53		1.4359	128	㎎/㎥	산 및 알카리류	○	○	 	○								0.00076	0.00251	㎍/㎖	40		2.13						MCE 여과지		DC	2.5							A-156-2018		H314	"H290,H301,H312,H314,H318,H402"
229	N0226	글루콘산 나트륨		sodium gluconate	글루콘산 나트륨	527-07-1		12	10 ㎎/㎥										 	 	 	○																																
230	N0227	아질산 나트륨		sodium nitrite	아질산 나트륨	7632-00-0		12											 	 	 	○																																
231	N0228	테트라부틸암모늄 브롬화물		tetrabutylammonium bromide	테트라부틸암모늄 브롬화물	1643-19-2		12											 	 	 	○																																
232	N0229	황산 나트륨		sodium sulfate	황산 나트륨	7757-82-6		12	10 ㎎/㎥										 	 	 	○																																
233	N0230	인산 칼륨 일염기성		potassium phosphate monobasic	인산 칼륨 일염기성	7778-77-0		12											 	 	 	○																																
234	N0231	T-신남산		t-cinnamic acid	T-신남산	140-10-3		12											 	 	 	○																																
235	N0234	과염소산		perchloric acid	과염소 산	7601-90-3		12											 	 	 	○																																
236	N0235	메탄		methane	메탄	74-82-8		12											 	 	 	○																																
237	N0236	에탄		ethane	에탄	74-84-0		12											 	 	 	○																																
238	N0240	유해광선		ultaviolet light	유해광선		36001	12								28	Lux	99	 	 	○	○																																
239	N0241	적외선		infrared light	적외선		36002	12											 	 	○	○																																
240	N0242	마이크로파 및 라디오파		microwave and radiowave	마이크로파 및 라디오파		36003	12											 	 	○	○																																
241	N0244	활석(석면불포함)		talc(Containing no asbestos fibers)	"활석, 비석면형"	14807-96-6	51474	24	2 ㎎/㎥		"GR(분진,금속가공유)"					02	㎎/㎥	분진	○	 	○	○				○															PVC 여과지		DC	2.5										
242	N0247	실리콘		silicon	실리콘	7440-21-3		24	10 ㎎/㎥		"IC(산,가스)"					13	㎎/㎥	가스상물질류	○	 	 	○																																"H228,H319"
243	N0248	탄소		carbon	탄소	7440-44-0		24											 	 	 	○																																
244	N0250	"철, 용광로"		"iron, furnace"	"철, 용광로"	65996-67-0		24											 	 	 	○																																
245	N0257	녹말		starch	녹말	9005-25-8		24											 	 	 	○																																
246	N0260	형석		fluorspar	형석	14542-23-5		24											 	 	 	○																																
247	N0262	규산 칼륨		potassium silicate	규산 칼륨	1344-95-2	51005	24	10 ㎎/㎥		"GR(분진,금속가공유)"					01	㎎/㎥	금속류	○	 	 	○																																
248	N0267	마그네틱 철 산화물		magnetite	마그네틱 철 산화물	1309-38-2		24											 	 	 	○																																
249	N0268	이산화 실리콘		silicon dioxide	이산화 실리콘	7631-86-9		24											 	 	 	○																																
250	N0270	이산화탄소		"carbon dioxode, gas"	이산화탄소(가스)	124-38-9	51283	24	5000 ppm	30000 ppm						31	ppm	99	○	 	 	○																																H280
251	N0271	이산화탄소(액화)		"carbon dioxide, liquefied"	이산화탄소(액화)	124-38-9		24											 	 	 	○																																
252	N0272	산소(냉각된 액체)		"oxygen, refrigerated liquid"	산소(냉각된 액체)	7782-44-7		24											 	 	 	○																																
253	N0291	흑연		graphite	흑연	7782-42-5	51479	24	2 ㎎/㎥		"GR(분진,금속가공유)"					02	㎎/㎥	분진	○	 	○	○																			PVC 여과지		DC	2.5										"H252,H332,H373"
254	N0292	석영		Silica(Crystalline quatz)	석영	14808-60-7	51498	24	0.05 ㎎/㎥		의뢰물질					20	㎎/㎥	분진	○	○	○	○					1A			4.2206	14.0546	㎍/Sample									PVC 여과지		DC	2.5										"H335,H350"
255	N0293	퍼라이트		perlite	퍼라이트	93763-70-3		24	10 ㎎/㎥		"GR(분진,금속가공유)"					01	㎎/㎥	분진	 	 	 	○																																
256	N0306	에탄올아민		ethanolamine	에탄올아민	141-43-5	21119	24	3 ppm	6 ppm	의뢰물질	51	1		1	13	ppm	유기화합물	○	○	 	○								0.0005	0.0017	㎎/Sample	61.08								10% NITC coated XAD-2		냉장	0.1							A-134-2018		"H332,H312,H302,H314"	"H302,H313,H314,H318,H335,H401,H412"
257	N0314	아연		zinc	아연	7440-66-6		24											 	 	 	○																																
258	N0319	개미산		Formic acid	개미산	64-18-6	23001	12	5 ppm		의뢰물질	307	1		1.02	19	ppm	산 및 알카리류	○	 	 	○								0.0441	0.1457	㎍/Sample									실리카겔		냉장	0.1							A-151-2018		H314	"H227,H290,H302,H314,H318,H331"
259	N0320	과산화수소		Hydrogen peroxide	과산화수소	7722-84-1	23003	12	1 ppm		UV(기타)	216				113	ppm	산 및 알카리류	○	 	 	○					2			0.0290	0.0957	㎍/Sample	34.01								Titanium oxysulfate hydrate coated Quartz 여과지		냉동	1							A-152-2018		"H271,H332,H302,H314"	"H271,H302,H314,H318,H330,H351,H401,H412"
260	N0321	"구리(분진, 미스트)"		copper(dust & mist)	구리(분진과 미스트)	7440-50-8	22003	12	1 ㎎/㎥	2 ㎎/㎥	"ICP(금속,알칼리)"	107	101.80		1	128	㎎/㎥	금속류	○	○	○	○								0.00089	0.00294	㎍/㎖	63.54		8.9						MCE 여과지		DC	2										"H302,H335,H400,H410"
261	N0322	니켈(가용성)		"nickel(soluble compounds, as Ni)"	니켈(가용성 무기화합물)	7440-02-0	22009	12	0.1 ㎎/㎥		"ICP(금속,알칼리)"	129	100.68		1	128	㎎/㎥	금속류	○	○	○	○			 		1A			0.00133	0.00439	㎍/㎖									MCE 여과지		DC	2									"H351,H372**,H317"	"H317,H334,H335,H351,H372,H401,H410"
262	N0323	니켈(불용성)		"nickel(insoluble inorganic compounds, as Ni)"	니켈(불용성무기화합물)	7440-02-0	22011	12	0.2 ㎎/㎥		"ICP(금속,알칼리)"	104	102.85		1	128	㎎/㎥	금속류	○	○	○	○	○		○	○	1A			0.00133	0.00439	㎍/㎖									MCE 여과지		DC	2									"H351,H372**,H317"	"H317,H334,H335,H351,H372,H401,H410"
263	N0324	몰리브덴(불용성화합물)		Molybdenum(Insoluble compounds)(total dust)	몰리브덴	7439-98-7	51132	12	10 ㎎/㎥		"ICP(금속,알칼리)"	111	0.99		1	09	㎎/㎥	금속류	○	○	 	○																																H335
264	N0325	바륨 및 그 가용성화합물		"Barium and soluble compounds, as Ba"	바륨 및 그 가용성 화합물	7440-39-3	22017	12	0.5 ㎎/㎥		"ICP(금속,알칼리)"	121	104.78		1	128	㎎/㎥	금속류	○	○	 	○								0.00053	0.00175	㎍/Sample									MCE 여과지		DC	2							A-43-2018			"H261,H315,H319,H402"
265	N0326	브롬화수소		Hydrogen bromide	브롬화수소	10035-10-6	23009	12		C2 ppm	의뢰물질	304			1.012	19	ppm	산 및 알카리류	○	 	 	○																			실리카겔		냉장	0.2							A-155-2018		"H335,H314"	"H280,H301,H314,H318,H331,H335,H373,H402"
266	N0327	비닐아세테이트		Vinyl acetate	비닐 아세테이트	108-05-4	21091	12	10 ppm	15 ppm	GC(유기용제)	10	1.0174	0.98		15	ppm	유기화합물	○	○	 	○					2			0.0164	0.0541	㎎/Sample	86.09								Carboxen 564		냉장	0.05							A-111-2018		"H225,H351,H332,H335"	"H225,H332,H335,H351,H401,H412"
267	N0328	산화마그네슘		Magnesium oxide	산화마그네슘	1309-48-4	22023	12	10 ㎎/㎥		"ICP(금속,알칼리)"	115	104.77		1.659	128	㎎/㎥	금속류	○	○	 	○								0.00307	0.01013	㎍/㎖	40.32		3.58						MCE 여과지		DC	2							A-4-2018			H303
268	N0329	산화아연(분진)		Zinc oxide(Respirable dust)	산화아연(분진)	1314-13-2	22035	12	2 ㎎/㎥		"ICP(금속,알칼리)"	114	104.29		1.245	128	㎎/㎥	금속류	○	○	○	○				○				0.00044	0.00145	㎍/㎖	81.37		5.6						MCE 여과지		DC	2.5									"H400,H410"	"H400,H410"
269	N0334	시안화칼슘			시안화칼슘	592-01-8	23019	12	5 ㎎/㎥		의뢰물질	215			1	116	㎎/㎥	산 및 알카리류	○	○	 	○																			Soda Lime		냉장	0.2							A-160-2018		"H300,H400,H410"	"H300,H319,H335,H400,H410"
270	N0335	에틸아세테이트		Ethyl acetate	초산에틸	141-78-6	21167	12	400 ppm		GC(유기용제)	13	0.9962	0.99		15	ppm	유기화합물	○	○	 	○								0.0297	0.0980	㎎/Sample	88.11								활성탄		냉장	0.02							A-131-2018		"H225,H336,H319"	"H225,H316,H335,H336"
271	N0336	은(금속)		Silver(Metal)	은(금속)	7440-22-4	22051	12	0.1 ㎎/㎥		"ICP(금속,알칼리)"	109	100.64		1	128	㎎/㎥	금속류	○	○	 	○								0.00078	0.00257	㎍/㎖	100.87		10.5						MCE 여과지		DC	2							A-11-2018			"H335,H400,H410"
272	N0337	이산화티타늄		Titanium dioxide	이산화티타늄	13463-67-7	22055	12	10 ㎎/㎥		"ICP(금속,알칼리)"	119	103.63		1.668	128	㎎/㎥	금속류	○	○	 	○					2			0.00153	0.00505	㎍/㎖	79.90		4.25						MCE 여과지		DC	2							A-17-2018			H351
273	N0338	인산		Phosphoric acid	인산	7664-38-2	23025	12	1 ㎎/㎥	3 ㎎/㎥	의뢰물질	305			1.032	112	㎎/㎥	산 및 알카리류	○	○	 	○								0.00943	0.03112	㎍/㎖									Quartz 여과지		냉장	1							A-184-2020		H314	
274	N0341	메틸아세테이트		Methyl acetate	초산메틸	79-20-9	21163	12	200 ppm	250 ppm	GC(유기용제)	08	0.9811			15	ppm	유기화합물	○	○	 	○								0.0244	0.0805	㎎/Sample	74.08								활성탄		냉장	0.02							A-130-2018		"H225,H336,H319"	"H225,H319,H336,H370"
275	N0342	n-부틸아세테이트		n-Butyl acetate	초산부틸	123-86-4	21165	12	150 ppm	200 ppm	GC(유기용제)	30	1.0045	1.07		15	ppm	유기화합물	○	○	 	○								0.0398	0.1313	㎎/Sample	116.16								활성탄		냉장	0.02							A-123-2018		"H226,H336"	"H226,H335,H336,H402"
276	N0344	용접흄			용접흄및분진		45001	12	5 ㎎/㎥		"GR(분진,금속가공유)"					01	㎎/㎥	분진	○	 	○	○				○	2														MCE 여과지		DC	2										
277	N0345	니켈카르보닐		"Nickel carbonyl, as Ni"	니켈카르보닐	13463-39-3	22013	12	0.001 ppm		"ICP(금속,알칼리)"		0.9171		1	128	ppm	금속류	○	○	○	○			○		1A		1B												MCE 여과지+low Ni 활성탄		DC	0.1							A-49-2019		"H225,H351,H360D***,H330,H400,H410"	"H315,H317,H318,H330,H334,H335,H341,H350,H360,H372"
278	N0346	백금(금속)		Platinum(Metal)	백금(금속)	7440-06-4	22019	12	1 ㎎/㎥		"ICP(금속,알칼리)"		1		1	128	㎎/㎥	금속류	○	○	 	○								0.0040	0.0132	㎍/㎖									MCE 여과지		DC	2							A-6-2018			"H315,H319"
279	N0347	백금(가용성 염)		"Platinum(Soluble salts, as Pt)"	백금(가용성염)	7440-06-4	22021	12	0.002 ㎎/㎥		"ICP(금속,알칼리)"		90.27		1	128	㎎/㎥	금속류	○	○	 	○								0.00040	0.00132	㎍/㎖									MCE 여과지		DC	2										"H315,H319"
280	N0348	셀레늄 및 그 화합물		"Selenium compounds, as Se"	셀레늄및그화합물	7782-49-2	22025	12	0.2 ㎎/㎥		"ICP(금속,알칼리)"		1		1	128	㎎/㎥	금속류	○	○	 	○																			MCE 여과지		DC	2							A-8-2018		"H331,H301,H373**,H413"	"H335,H373,H400"
281	N0349	수은(알킬화합물)		Mercury(Alkyl compounds)	수은(알킬화합물)	7439-97-6	22027	12	0.01 ㎎/㎥	0.03 ㎎/㎥	의뢰물질		1		1	10	㎎/㎥	금속류	○	 	○	○			○	○				0.06747	0.22265	ng/sample									hopcalite in single section		DC	0.2							A-44-2019		"H360D***,H330,H372**,H400,H410"	"H319,H330,H341,H360,H372,H400,H410"
282	N0350	수은(아릴화합물)		Mercury(Aryl compound)	수은(아릴화합물)	7439-97-6	22029	12	0.1 ㎎/㎥		의뢰물질		1		1	10	㎎/㎥	금속류	○	 	○	○			○	○						㎎/㎥									hopcalite in single section		DC	0.2							A-44-2019		"H360D***,H330,H372**,H400,H410"	"H319,H330,H341,H360,H372,H400,H410"
283	N0351	알루미늄(피로파우더)		Aluminum(Pyropowders)	알루미늄및그화합물(피로파우더)	7429-90-5	22041	12	5 ㎎/㎥		"ICP(금속,알칼리)"		99.23		1	128	㎎/㎥	금속류	○	○	○	○				○				0.0142	0.0469	㎍/㎖	26.98		2.7						MCE 여과지		DC	2									"H250,H261"	"H373,H402,H410"
284	N0352	알루미늄(흄)		Aluminum(Welding fumes)	알루미늄및그화합물(흄)	7429-90-5	22043	12	5 ㎎/㎥		"ICP(금속,알칼리)"		98.99		1	128	㎎/㎥	금속류	○	○	○	○				○				0.00672	0.02218	㎍/㎖	26.98		2.7						MCE 여과지		DC	2									"H250,H261"	"H373,H402,H410"
285	N0353	알루미늄(가용성 염)		Aluminum(Soluble salts)	알루미늄및그화합물(가용성염)	7429-90-5	22045	12	2 ㎎/㎥		"ICP(금속,알칼리)"		94.71		1	128	㎎/㎥	금속류	○	○	○	○				○				0.00672	0.02218	㎍/㎖	26.98		2.7						MCE 여과지		DC	2									"H250,H261"	"H373,H402,H410"
286	N0354	알루미늄(알킬)		Aluminum(Alkyls)	알루미늄및그화합물(알킬)	7429-90-5	22047	12	2 ㎎/㎥		"ICP(금속,알칼리)"		0.95		1	128	㎎/㎥	금속류	○	○	○	○				○				0.0051	0.0203	㎍/㎖	26.98		2.7						MCE 여과지		DC	2									"H250,H261"	"H373,H402,H410"
287	N0355	은(가용성)		"Silver(Soluble compounds, as Ag)"	은(가용성화합물)	7440-22-4	22053	12	0.01 ㎎/㎥		"ICP(금속,알칼리)"	109	100.64		1	128	㎎/㎥	금속류	○	○	 	○								0.00078	0.00257	㎍/㎖									MCE 여과지		DC	2										"H335,H400,H410"
288	N0356	주석(산화 및 무기화합물)		Tin oxide ^ Inorganic compounds as Sn	주석(산화및무기화합물)	7440-31-5	22059	12	2 ㎎/㎥		"ICP(금속,알칼리)"	123	100.99		1	128	㎎/㎥	금속류	○	○	○	○								0.00699	0.02307	㎍/㎖	118.69		7.2						MCE 여과지		DC	2										H335
289	N0357	주석(유기화합물)		Tin(Organic compounds as Sn)	주석(유기화합물)	7440-31-5	22061	12	0.1 ㎎/㎥		"ICP(금속,알칼리)"	123	99.96		1	128	㎎/㎥	금속류	○	○	○	○								0.00699	0.02307	㎍/㎖	118.69		7.2						MCE 여과지		DC	2							A-50-2018			H335
290	N0358	6가크롬(수용성)		Chromium(Ⅵ)compounds(Water soluble)	크롬(수용성 6가크롬화합물)	7440-47-3	22073	12	0.05 ㎎/㎥		의뢰물질		1		1	112	㎎/㎥	금속류	○	○	○	○	○		○	○	1A			0.30019	0.990627	ppb									PVC 여과지		냉장	1							A-173-2019			"H317,H334,H335,H350"
291	N0359	6가크롬(불용성)		Chromium(Ⅵ)compounds(Water insoluble inorganic compounds)	크롬(불용성 6가크롬화합물)	7440-47-3	22075	12	0.01 ㎎/㎥		의뢰물질		1		1	112	㎎/㎥	금속류	○	○	○	○	○		○	○	1A			0.30019	0.99063	ppb									PVC 여과지		냉장	1							A-173-2019			"H317,H334,H335,H350"
292	N0360	텅스텐(가용성)		Tungsten(Soluble compounds)	텅스텐과 그 화합물	7440-33-7	22079	12	1 ㎎/㎥	3 ㎎/㎥	"ICP(금속,알칼리)"		90.33		1	128	㎎/㎥	금속류	○	○	○	○								0.00247	0.00815	㎍/㎖	183.85		19.3						MCE 여과지		DC	2.5										"H303,H313,H319,H401"
293	N0361	무수초산		Acetic anhydride	무수초산	108-24-7	23005	12	1 ppm	3 ppm	의뢰물질					125	ppm	산 및 알카리류	○	 	○	○								0.00157	0.005181	㎎/Sample									Vatatrylamine and DOP coated 유리섬유 여과지		DC	0.02							A-153-2018		"H226,H332,H302,H314"	"H226,H302,H313,H319,H331,H335"
294	N0362	아크릴산		Acrylic acid	아크릴산	79-10-7	23021	12	2 ppm		의뢰물질					13	㎎/㎥	산 및 알카리류	○	 	 	○																			XAD-8		냉장	0.05							A-182-2020		"H226,H332,H312,H302,H314,H400"	"H226,H301,H311,H314,H318,H331,H400"
295	N0364	콜타르피치 휘발물		"Coaltar pitch volatiles, as Benzene solubles"	휘발성 콜타르피치	65996-93-2	12017	12	0.2 ㎎/㎥		"GR(분진,금속가공유)"					05	㎎/㎥	허가대상유해물질	○	 	○	○		○	○	○	1A		1B												유리섬유 여과지		DC	2							A-178-2019		"H350,H340,H360FD,H400,H410"	"H313,H317,H319,H335,H350,H410"
296	N0365	디메틸아민		Dimethy1amin	디메틸아민	124-40-3	21017	12	5 ppm	15 ppm	의뢰물질					13	ppm	유기화합물	○	 	 	○																			10% NBD chloride coated XAD-7		냉장	0.2							A-138-2018		"H220,,H332,H335,H315,H318"	"H220,H280,H302,H313,H314,H317,H318,H332,H335,H373,H401"
297	N0366	디에탄올아민		Diethanolamine	디에탄올아민	111-42-2	21023	12	2 ㎎/㎥		의뢰물질		1		1	13	㎎/㎥	유기화합물	○	○	 	○					2			0.0015	0.0050	㎎/Sample	105.14								10% NITC coated XAD-2		냉장	0.1							A-142-2018		"H302,H373**,H315,H318"	"H302,H315,H319,H335,H351,H373,H402,H412"
298	N0367	2-디에틸아미노에탄올		2-Diethylamino ethanol	2-디에틸아미노에탄올	100-37-8	21027	12	2 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	 	○																			실리카겔		냉장	0.02							A-132-2018		"H226,H332,H312,H302,H314"	"H226,H290,H302,H312,H314,H318,H331,H335"
299	N0368	디에틸아민		Diethylamine	디에틸아민	109-89-7	21031	12	5 ppm	15 ppm	의뢰물질					13	ppm	유기화합물	○	 	 	○																			10% NBD chloride coated XAD-7		냉장	0.2							A-141-2018		"H225,H332,H312,H302,H314"	"H225,H302,H311,H314,H318,H332,H335,H401"
300	N0369	"1,1-디클로로-1-플루오로에탄"		"1,1-Dichloro-1-fluoroethane"	"1,1-디클로로-1-플루오로에탄"	1717-00-6	21045	12	500 ppm		GC(유기용제)	50	1.005	1	1	15	ppm	유기화합물	○	 	 	○								0.0162	0.0535	㎎/Sample	116.95								Anasorb CMS		냉장	0.01							A-41-2018		"H412,H420"	"H402,H412,H420"
301	N0370	p-디히드록시벤젠		Dihydroxybenzene	디하이드록시벤젠	123-31-9	21047	12	2 ㎎/㎥		의뢰물질					110	㎎/㎥	유기화합물	○	 	○	○					2	2		0.00032	0.00106	㎎									MCE 여과지		냉장	1							A-87-2018		"H351,H341,H302,H318,H317,H400"	"H302,H317,H318,H335,H341,H351,H373,H400,H410"
302	N0371	알릴글리시딜에테르		Allylglycidyl ether(AGE)	알릴글리시딜에테르	106-92-3	21117	12	1 ppm		GC(유기용제)					15	ppm	유기화합물	○	 	 	○					2	2	2												Tenax GC		냉장	0.1							A-144-2018		"H226,H351,H341,H361f***,H332,H302,H335,H315,H318,H317,H412"	"H226,H302,H313,H315,H317,H318,H331,H335,H341,H351,H361,H402,H412"
303	N0372	에틸아민		Ethyl amine	에틸아민	75-04-7	21123	12	5 ppm	15 ppm	의뢰물질					13	ppm	유기화합물	○	 	 	○																			10% NBD chloride coated XAD-7		냉장	0.05							A-148-2018		"H220,H335,H319"	"H220,H280,H302,H311,H314,H318,H335,H401"
304	N0373	"1,2-에폭시프로판"		"1,2-Epoxypropane"	"1,2-에폭시프로판"	75-56-9	21147	12	2 ppm		GC(유기용제)		0.9785			15	ppm	유기화합물	○	○	 	○	○				1B	1B		0.0018	0.0059	㎎/Sample	58.08		0.830						활성탄		냉장	0.02							A-83-2018		"H224,H350,H340,H332,H312,H302,H335,H315,H319"	"H224,H302,H312,H315,H319,H331,H335,H340,H350,H402"
