일련번호,CAS No,유해물질의 명칭_국문,유해물질의 명칭_영문,화학식,노출기준_TWA_ppm,노출기준_TWA_㎎/㎥,노출기준_STEL_ppm,노출기준_STEL_㎎/㎥,비 고(CAS번호 등),Cas No. 추출값
381,107-18-6,알릴 알코올,Allyl alcohol,CH2CHCH2OH,0.5,-,4,-,[107-18-6] Skin,107-18-6
382,2179-59-1,알릴프로필 디설파이드,Allylpropyl disulfide,CH2CHCH2S2C3H7,0.5,-,-,-,[2179-59-1] ,2179-59-1
383,134-32-7,알파나프틸아민,α-Naphthyl amine,C10H7NH2,-,0.006,-,-,[134-32-7] 발암성 2,134-32-7
384,86-88-4,알파-나프틸티오우레아,α-Naphthylthiourea(ANTU),C11H10N2S,-,0.3,-,-,"[86-88-4] 발암성 2, Skin",86-88-4
385,98-83-9,알파-메틸 스티렌,α-Methyl styrene,C6H5C(CH3)=CH2/C9H10,50,-,100,-,[98-83-9] 발암성 2,98-83-9
386,1344-28-1,알파-알루미나,α-Alumina,Al2O3,-,10,-,-,[1344-28-1] ,1344-28-1
387,532-27-4,알파-클로로아세토페논,α-Chloroacetophenone,C6H5COCH2Cl,0.05,-,-,-,[532-27-4] ,532-27-4
388,7773-06-0,암모늄 설파메이트,Ammonium sulfamate,NH2SO3NH4,-,10,-,-,[7773-06-0] ,7773-06-0
389,7664-41-7,암모니아,Ammonia,NH3,25,-,35,-,[7664-41-7] ,7664-41-7
390,68476-85-7,액화 석유가스,L.P.G(Liquified petroleum gas),C3H6/C3H8/C4H8/C4H10,1000,-,-,-,"[68476-85-7] 발암성 1A, 생식세포 변이원성 1B (부타디엔 0.1%이상인 경우에 한정함)",68476-85-7
391,1302-74-5,에머리,Emery,-,-,10,-,-,[1302-74-5] ,1302-74-5
392,75-08-1,에탄 에티올,Ethanethiol,C2H5SH,0.5,-,-,-,[75-08-1] ,75-08-1
394,141-43-5,에탄올아민,Ethanolamine,HOCH2CH2NH2,3,-,6,-,[141-43-5] ,141-43-5
395,110-80-5,2-에톡시에탄올,2-Ethoxyethanol,C2H5OCH2CH2OH,5,-,-,-,"[110-80-5] 생식독성 1B, Skin",110-80-5
396,111-15-9,2-에톡시에틸아세테이트,2-Ethoxyethyl acetate,C2H5OCH2CH5OCOCH3,5,-,-,-,"[111-15-9] 생식독성 1B, Skin",111-15-9
397,563-12-2,에티온,Ethion,C9H2O4P2S2,-,0.4,-,-,[563-12-2] Skin,563-12-2
398,628-96-6,에틸렌 글리콜 디니트레이트,Ethylene glycol dinitrate,(CH2NO3)2,0.05,-,-,-,[628-96-6] Skin,628-96-6
399,112-07-2,에틸렌글리콜모노부틸 에테르아세테이트,Ethyleneglycol monobutyl etheracetate,C4H9OCH2OO-CH3,20,-,-,-,[112-07-2] 발암성 2,112-07-2
400,110-49-6,에틸렌 글리콜메틸에테르 아세테이트,Ethylene glycol methyl ether acetate,CH3COOCH2CH2OCH3,5,-,-,-,"[110-49-6] 생식독성 1B, Skin",110-49-6
401,107-21-1,에틸렌 글리콜(증기 및 미스트),Ethylene glycol(Vapor and mist),CH2OHCH2OH,-,-,-,C100,[107-21-1] ,107-21-1
402,107-15-3,에틸렌디아민,Ethylenediamine,CH2BrCH2Br,10,,,,"[107-15-3] 1,2-디아미노에탄 참조",107-15-3
403,151-56-4,에틸렌이민,Ethylenimine,(CH2)2NH,0.5,-,-,-,"[151-56-4] 발암성 1B, 생식세포 변이원성 1B, Skin",151-56-4
404,107-07-3,에틸렌 클로로하이드린,Ethylene chlorohydrin,CH3ClCH2OH,-,-,C1,-,[107-07-3] Skin,107-07-3
405,16219-75-3,에틸리덴 노보르닌,Ethylidene norbornene,C9H12,-,-,C5,-,[16219-75-3] ,16219-75-3
406,75-08-1,에틸 멀캡탄,Ethyl mercaptan,C2H5SH,,,,,[75-08-1] ,75-08-1
407,100-41-4,에틸 벤젠,Ethyl benzene,C2H5C6H5,100,-,125,-,[100-41-4] 발암성 2,100-41-4
408,106-35-4,에틸 부틸 케톤,Ethyl butyl ketone,C2H5COC4H9,50,-,-,-,[106-35-4] ,106-35-4
409,78-10-4,에틸 실리케이트,Ethyl silicate,(C2H5O)Si/(CH2H5)4SiO4,10,-,-,-,[78-10-4] ,78-10-4
410,75-04-7,에틸 아민,Ethyl amine,C2H5NH2,5,-,15,-,[75-04-7] Skin,75-04-7
411,541-85-5,에틸 아밀 케톤,Ethyl amyl ketone,C8H16O,25,-,-,-,[541-85-5] ,541-85-5
412,140-88-5,에틸 아크릴레이트,Ethyl acrylate,CH2CHCOOC2H5,5,-,-,-,[140-88-5] 발암성 2,140-88-5
413,64-17-5,에틸 알코올,Ethyl alcohol,C2H5OH,1000,-,-,-,[64-17-5] 발암성 1A (알코올 음주에 한정함),64-17-5
414,60-29-7,에틸 에테르,Ethyl ether,C2H5OC2H5,400,,500,,[60-29-7] 디에틸 에테르 참조,60-29-7
415,75-56-9,"1,2-에폭시프로판","1,2-Epoxypropane",CH3CHOCH2,2,-,-,-,"[75-56-9] 발암성 1B, 생식세포 변이원성 1B",75-56-9
416,556-52-5,"2,3-에폭시-1-프로판올","2,3-Epoxy-1-propanol",C3H6O2,2,-,-,-,"[556-52-5] 발암성 1B, 생식세포 변이원성 2, 생식독성 1B",556-52-5
417,106-89-8,에피클로로히드린,Epichlorohydrin,C3H5OCl,0.5,-,-,-,"[106-89-8] 발암성 1B, Skin",106-89-8
418,115-29-7,엔도설판,Endosulfan(Inhalable fraction and vapor),C9H6Cl6O3S,-,0.1,-,-,"[115-29-7] Skin, 흡입성 및 증기",115-29-7
419,72-20-8,엔드린,Endrin,C12H8Cl6O,-,0.1,-,-,[72-20-8] Skin,72-20-8
420,7782-50-5,염소,Chlorine,Cl2,0.5,-,1,- ,[7782-50-5] ,7782-50-5
421,75-35-4,염소화 비닐리덴,Vinylidene chloride,CH2CCl2,5,,20,,"[75-35-4] 1,1-디클로로에틸렌 참조",75-35-4
422,55720-99-5,염소화 산화디페닐,Chlorinated diphenyloxide,C12H4Cl6O,-,0.5,-,2,[55720-99-5] ,55720-99-5
423,8001-35-2,염소화 캄펜,Chlorinated camphene,C10H10Cl8,-,0.5,-,1,"[8001-35-2] 발암성 2, Skin",8001-35-2
424,75-09-2,염화 메틸렌,Methylene chloride,CH2Cl2,50,,,,[75-09-2] 디클로로메탄 참조,75-09-2
425,100-44-7,염화 벤질,Benzyl chloride,C6H5CH2Cl,1,-,-,-,[100-44-7] 발암성 1B,100-44-7
426,75-01-4,염화 비닐,Vinyl chloride,CH2CHCl,1,,,,[75-01-4] 클로로에틸렌 참조,75-01-4
427,7647-01-0,염화 수소,Hydrogen chloride,HCl,1,-,2,-,[7647-01-0] ,7647-01-0
428,506-77-4,염화 시아노겐,Cyanogen chloride,CClN,-,-,C0.3,-,[506-77-4] ,506-77-4
429,7646-85-7,염화 아연 흄,Zinc chloride fume,ZnCl2,-,1,-,2,[7646-85-7] ,7646-85-7
430,107-05-1,염화 알릴,Allyl chloride,CH2CHCH2Cl,1,-,2,-,"[107-05-1] 발암성 2, 생식세포 변이원성 2, Skin",107-05-1
431,12125-02-9,염화 암모늄 흄,Ammonium chloride fume,NH4Cl,-,10,-,20,[12125-02-9] ,12125-02-9
432,75-00-3,염화 에틸,Ethyl chloride,C2H5Cl,1000,-,-,-,"[75-00-3] 발암성 2, Skin",75-00-3
433,107-06-2,염화 에틸리덴,Ethylidene chloride,CH3CHCl2,10,-,-,-,[107-06-2] 발암성 1B,107-06-2
434,7719-09-7,염화 티오닐,Thionyl chloride,SOCl2,-,-,C0.2,-,[7719-09-7] ,7719-09-7
435,89-72-5,오쏘-이차-부틸페놀,o-sec-Butylphenol,C2H5(CH3)CHC6H4OH,5,-,-,-,[89-72-5] Skin,89-72-5
436,95-50-1,오쏘-디클로로벤젠,o-Dichlorobenzene,C6H4Cl2,25,-,50,-,[95-50-1] ,95-50-1
437,583-60-8,오쏘-메틸시클로헥사논,o-Methylcyclohexanone,C7H12O,50,-,75,-,[583-60-8] Skin,583-60-8
438,2698-41-1,오쏘-클로로벤질리덴 말로노니트릴,o-Chlorobenzylidene malononitrile,ClC6H4CHC(CN)2,-,-,C0.05,-,[2698-41-1] Skin,2698-41-1
439,2039-87-4,오쏘-클로로스티렌,o-Chlorostyrene,C8H7Cl,50,-,75,-,[2039-87-4] ,2039-87-4
440,95-49-8,오쏘-클로로톨루엔,o-Chlorotoluene,C6H4CH3Cl,50,-,75,-,[95-49-8] ,95-49-8
441,95-53-4,오쏘-톨루이딘,o-Toluidine,CH3C6H4NH2,2,-,-,-,"[95-53-4] 발암성 1A, Skin",95-53-4
442,119-93-7,오쏘-톨리딘,o-Tolidine,(CH3C6H3NH2)2,-,-,-,-,"[119-93-7] 발암성 1B, Skin",119-93-7
443,91-15-6,오쏘-프탈로디니트릴,o-Phthalodinitrile(Inhalable fraction and vapor),C6H4(NH2)2,-,1,-,-,[91-15-6] 흡입성 및 증기,91-15-6
444,7789-30-2,오불화 브롬,Bromine pentafluoride,BrF5,0.1,-,-,-,[7789-30-2] ,7789-30-2
445,1314-62-1,오산화바나듐,Vanadium pentoxide(Inhalable fraction),V2O5,-,0.05,-,-,"[1314-62-1] 발암성 2, 생식세포 변이원성 2, 생식독성 2, 흡입성",1314-62-1
446,13463-40-6,오카르보닐 철(펜타카르보닐철),"Iron pentacarbonyl, as Fe",Fe(CO)5,0.1,-,0.2,-,[13463-40-6] ,13463-40-6
447,10028-15-6,오존,Ozone,O3,0.08,-,0.2,-,[10028-15-6] ,10028-15-6
448,144-62-7,옥살산,Oxalic acid,HOOCCOOH․2H2O,-,1,-,2,[144-62-7] ,144-62-7
449,2234-13-1,옥타클로로나프탈렌,Octachloronaphthalene,C10Cl8,-,0.1,-,0.3,[2234-13-1] Skin,2234-13-1
450,111-65-9,옥탄,Octane,C8H18,300,-,375,-,[111-65-9] ,111-65-9
451,81-81-2,와파린,Warfarin,C19H16O4,-,0.1,-,-,"[81-81-2] 생식독성 1A, Skin",81-81-2
452,7553-56-2,요오드 및 요오드화물,Iodine and iodides(Inhalable fraction and vapor),I2,0.01,-,0.1,-,[7553-56-2] 흡입성 및 증기,7553-56-2
453,75-47-8,요오드포름,Iodoform,CHI3,0.6,-,-,-,[75-47-8] ,75-47-8
454,74-88-4,요오드화 메틸,Methyl iodide,CH3I ,2,-,-,-,"[74-88-4] 발암성 2, Skin",74-88-4
455,-,용접 흄 및 분진,Welding fumes and dust,-,-,5,-,-,발암성 2,-
456,7440-61-1,우라늄(가용성 및 불용성 화합물),"Uranium(Soluble & insoluble compounds, as U)",U/U3O8/UF4/UH3/UF6/UO2(NO3)2․6H2O/UO2SO4․3H2O,-,0.2,-,0.6,[7440-61-1] 발암성 1A,7440-61-1
457,12001-26-2,운모,Mica(Respirable fraction),-,-,3,-,-,[12001-26-2] 호흡성,12001-26-2
458,-,유리 섬유 분진,Fibrous glass dust,-,-,5,-,-,-,-
459,7783-79-1,육불화 셀레늄,"Selenium hexafluoride, as Se",SeF6,0.05,-,-,-,[7783-79-1] ,7783-79-1
460,7783-80-4,육불화 텔레늄,"Tellurium hexafluoride, as Te",TeF6,0.02,-,-,-,[7783-80-4] ,7783-80-4
461,2551-62-4,육불화 황,Sulfur hexafluoride,SF6,1000,-,-,-,[2551-62-4] ,2551-62-4
462,7440-22-4,은(가용성 화합물),"Silver(Soluble compounds, as Ag)",AgNO3/AgF,-,0.01,-,-,[7440-22-4] ,7440-22-4
463,7440-22-4,"은(금속, 분진 및 흄)","Silver(Metal, dust and fume)",Ag,-,0.1,-,-,[7440-22-4] ,7440-22-4
464,7783-41-7,이불화산소,Oxygen difluoride,OF2,-,-,C0.05,-,[7783-41-7] ,7783-41-7
465,106-93-4,이브롬화 에틸렌,Etylene dibromide,NH2CH2CH2NH2,,0,,,"[106-93-4] 1,2-디브로모에탄 참조",106-93-4
466,10049-04-4,이산화염소,Chlorine dioxide,ClO2,0.1,-,0.3,-,[10049-04-4] ,10049-04-4
467,10102-44-0,이산화질소,Nitrogen dioxide,NO2/N2O4,3,-,5,-,[10102-44-0] ,10102-44-0
468,124-38-9,이산화탄소,Carbon dioxide,CO2,5000,-,30000,-,[124-38-9] ,124-38-9
469,13463-67-7,이산화티타늄,Titanium dioxide,TiO2,-,10,-,-,[13463-67-7] 발암성 2,13463-67-7
470,7446-09-5,이산화 황,Sulfur dioxide,SO2,2,-,5,-,[7446-09-5] ,7446-09-5
471,78-83-1,이소부틸 알코올,Isobutyl alcohol,(CH3)2CHCH2OH,50,-,-,-,[78-83-1] ,78-83-1
472,123-51-3,이소아밀 알코올,Isoamyl alcohol,(CH3)2CHCH2OH,100,-,125,-,[123-51-3] ,123-51-3
473,26952-21-6,이소옥틸 알코올,Isooctyl alcohol,C7H15CH2OH,50,-,-,-,[26952-21-6] Skin,26952-21-6
474,78-59-1,이소포론,Isophorone,C9H14O,-,-,C5,-,[78-59-1] 발암성 2,78-59-1
475,4098-71-9,이소포론 디이소시아네이트,Isophorone diisocyanate,C12H18N2O2,0.005,-,-,-,[4098-71-9] Skin,4098-71-9
476,109-59-1,이소프로폭시에탄올,Isopropoxyethanol,(CH3)2CHOCH2CH2OH,25,-,-,-,[109-59-1] Skin,109-59-1
477,4016-14-2,이소프로필 글리시딜 에테르,Isopropyl glycidyl ether(IGE),C6H12O2,50,-,75,-,[4016-14-2] ,4016-14-2
478,75-31-0,이소프로필아민,Isopropylamine,(CH3)2CHNH3,5,-,10,-,[75-31-0] ,75-31-0
479,67-63-0,이소프로필 알코올,Isopropyl alcohol,CH3CHOHCH3,200,-,400,-,[67-63-0] ,67-63-0
480,108-20-3,이소프로필 에테르,Isopropyl ether,[(CH3)2CH]2O,250,-,310,-,[108-20-3] ,108-20-3
481,540-59-0,이염화아세틸렌,Acetylene dichloride,CHClCHCl,200,,,,"[540-59-0] 1,2-디클로로에틸렌 참조",540-59-0
482,107-06-2,이염화 에틸렌,Ethylene dichloride,ClCHCHCl,10,-,-,-,[107-06-2] 발암성 1B,107-06-2
483,7440-65-5,이트리움(금속 및 화합물),"Yttrium(Metal & compounds, as Y)",Y/Y(NO3)3․6H2O/YCl3/Y2O3,-,1,-,-,[7440-65-5] ,7440-65-5
484,2104-64-5,이피엔,EPN(Inhalable fraction),C14H14NO4PS,-,0.1,-,-,"[2104-64-5] Skin, 흡입성",2104-64-5
485,75-15-0,이황화탄소,Carbon disulfide ,CS2,1,-,-,-,"[75-15-0] 생식독성 2, Skin",75-15-0
486,12185-10-3,인(황색),Phosphorus(yellow),P4,-,0.1,-,-,[12185-10-3] ,12185-10-3
487,95-13-6,인덴,Indene,C9H8,10,-,-,-,[95-13-6] ,95-13-6
488,7440-74-6,인듐 및 그 화합물,"Indium & compounds, as In(Indium & compounds as Fume) (Respirable fraction)",In,-,0.01,-,-,[7440-74-6] 호흡성,7440-74-6
489,7664-38-2,인산,Phosphoric acid,H3PO4,-,1,-,3,[7664-38-2] ,7664-38-2
490,10102-43-9,일산화질소,Nitric monoxide,NO,25,-,-,-,[10102-43-9] ,10102-43-9
491,630-08-0,일산화탄소,Carbon monoxide,CO,30,-,200,-,[630-08-0] 생식독성 1A,630-08-0
492,57-50-1,자당,Sucrose,C12H22O11,-,10,-,-,[57-50-1] ,57-50-1
493,546-93-0,자철광,Magnesite,MgCO3,-,10,-,-,[546-93-0] ,546-93-0
494,9005-25-8,전분,Starch,(C6H10O5)n,-,10,-,-,[9005-25-8] ,9005-25-8
495,7440-31-5,주석(금속),Tin(Metal),Sn,-,2,-,-,[7440-31-5] ,7440-31-5
496,7440-31-5,주석(유기화합물),"Tin(Organic compounds, as Sn)",(C4H9)2Sn(C8H15O2)/[(C4H9)3Sn]2O/(C6H5)SnCl/(C4H9)2SnCl2/(C4H9)4Sn,-,0.1,-,-,[7440-31-5] Skin,7440-31-5
497,7440-67-7,지르코늄 및 그 화합물,"Zirconium and compounds, as Zr",ZrO2/ZrOCl2․8H2O/ZrCl4/ZrH2/H2ZrO2(C2H3O2)2,-,5,-,10,[7440-67-7] ,7440-67-7
498,7697-37-2,질산,Nitric acid,HNO3,2,-,4,-,[7697-37-2] ,7697-37-2
499,12604-58-9,철바나듐 분진,Ferrovanadium dust,FeV,-,1,-,3,[12604-58-9] ,12604-58-9
500,7439-89-6,철염(가용성),"Iron salts(Soluble, as Fe)",Fe,-,1,-,-,[7439-89-6] ,7439-89-6
501,64-19-7,초산,Acetic acid,CH3COOH,10,-,15,-,[64-19-7] ,64-19-7
502,105-46-4,초산 이차-부틸,sec-Butyl acetate,CH3COOCHCH3CH2CH3,200,-,-,-,[105-46-4] ,105-46-4
503,540-88-5,초산 삼차-부틸,tert-Butyl acetate,CH3COOC(CH3)3,200,-,-,-,[540-88-5] ,540-88-5
504,626-38-0,초산 이차-아밀,sec-Amyl acetate,CH3COOCH(CH3)(CH2)CH3,50,-,100,-,[626-38-0] ,626-38-0
505,108-84-9,초산 이차-헥실,sec-Hexyl acetate,CH3COOCH(CH3)CH2CH(CH3)2,50,-,-,-,[108-84-9] ,108-84-9
506,79-20-9,초산 메틸,Methyl acetate,CH3COOCH3,200,-,250,-,[79-20-9] ,79-20-9
507,141-78-6,초산 에틸,Ethyl acetate,CH3COOC2H5,400,-,-,-,[141-78-6] ,141-78-6
508,110-19-0,초산 이소부틸,Isobutyl acetate,CH3COOCH2CH(CH3)2,150,-,187,-,[110-19-0] ,110-19-0
509,123-92-2,초산 이소아밀,Isoamyl acetate,CH3COOCH2CH2CH(CH3)2,50,-,100,-,[123-92-2] ,123-92-2
510,108-21-4,초산 이소프로필,Isopropyl acetate,CH3COOCH(CH3)2,100,-,200,-,[108-21-4] ,108-21-4
511,109-60-4,초산 프로필,n-Propyl acetate,CH3COOCH2CH2CH3,200,-,250,-,[109-60-4] ,109-60-4
512,7440-43-9,카드뮴 및 그 화합물,"Cadmium and compounds, as Cd(Respirable fraction)",Cd/CdO,-,0.01,-,-,"[7440-43-9] 발암성 1A, 생식세포 변이원성 2, 생식독성 2, 호흡성",7440-43-9
512,7440-43-9,카드뮴(호흡성),"Cadmium and compounds, as Cd(Respirable fraction)",Cd/CdO,-,0.002,-,-,"[7440-43-9] 발암성 1A, 생식세포 변이원성 2, 생식독성 2, 호흡성",7440-43-9
513,75-44-5,카르보닐 클로라이드,Carbonyl chloride,COCl2,0.1,,,,[75-44-5] 포스겐 참조,75-44-5
514,63-25-2,카바릴,Carbaryl,C12H11NO2,-,5,-,-,"[63-25-2] 발암성 2, Skin",63-25-2
515,1563-66-2,카보푸란,Carbofuran(Inhalable fraction and vapor),C12H15NO3,-,0.1,-,-,[1563-66-2] 흡입성 및 증기,1563-66-2
516,353-50-4,카보닐 플루오라이드,Carbonyl fluoride,COF2,2,-,5,-,[353-50-4] ,353-50-4
517,1333-86-4,카본블랙,Carbon black(Inhalable fraction),C,-,3.5,-,-,"[1333-86-4] 발암성 2, 흡입성",1333-86-4
518,1332-58-7,카올린,Kaoline(Respirable fraction),H2Al2Si2O8․H2O,-,2,-,-,[1332-58-7] 호흡성,1332-58-7
519,105-60-2,카프로락탐(분진),Caprolactum(Dust)(Inhalable fraction),CH2CH2CH2NHCH2CH2CO,-,1,-,3,[105-60-2] 흡입성,105-60-2
520,105-60-2,카프로락탐(증기),Caprolactum(Vapor),CH2CH2CH2NHCH2CH2CO,-,20,-,40,[105-60-2] ,105-60-2
521,120-80-9,카테콜,Catechol,C6H4(OH)2,5,-,-,-,"[120-80-9] 발암성 2, Skin",120-80-9
522,156-62-7,칼슘 시안아미드,Calcium cyanamide,CaCN,-,0.5,-,-,[156-62-7] ,156-62-7
523,13765-19-0,칼슘 크로메이트,Calcium chromate,CaCrO4,-,0.001,-,-,[13765-19-0] ,13765-19-0
524,76-22-2,캄파(인조),Camphor(Synthetic),C10H16O,2,-,3,-,[76-22-2] ,76-22-2
525,2425-06-1,캡타폴,Captafol(Inhalable fraction and vapor),C10H9Cl4NO2S,-,0.1,-,-,"[2425-06-1] 발암성 1B, Skin, 흡입성 및 증기",2425-06-1
526,133-06-2,캡탄,Captan(Inhalable fraction) ,C9H8Cl3NO2S,-,5,-,-,"[133-06-2] 발암성 2, 흡입성",133-06-2
527,8008-20-6,케로젠,Kerosene,-,-,200,-,-,"[8008-20-6] 발암성 2, Skin",8008-20-6
528,463-51-4,케텐,Ketene,CH2CO,0.5,-,1.5,-,[463-51-4] ,463-51-4
529,7440-48-4,코발트 및그 무기화합물,Cobalt and inorganic compounds,Co/CoO/Co2O3/Co3O4,-,0.02,-,-,[7440-48-4] 발암성 2,7440-48-4
530,16842-03-8,코발트 하이드로카르보닐,"Cobalt hydrocarbonyl, as Co",HCO(Co)4,-,0.1,-,-,[16842-03-8] ,16842-03-8
531,106-51-4,퀴논,Quinone,OC6H4O,0.1,,,,[106-51-4] 파라-벤조퀴논 참조,106-51-4
532,98-82-8,큐멘,Cumene,C6H5C3H7,50,-,-,-,"[98-82-8] 발암성 2, Skin",98-82-8
533,10210-68-1,코발트 카르보닐,"Cobalt carbonyl, as Co",CO2(Co)4,-,0.1,-,-,[10210-68-1] ,10210-68-1
534,106-44-5,크레졸(모든 이성체),Cresol(all isomers)(Inhalable fraction and vapor),CH3C6H4OH,-,22,-,-,"[106-44-5] Skin, 흡입성 및 증기",106-44-5
534,108-39-4,크레졸(모든 이성체),Cresol(all isomers)(Inhalable fraction and vapor),CH3C6H4OH,-,22,-,-,"[108-39-4] Skin, 흡입성 및 증기",108-39-4
534,1319-77-3,크레졸(모든 이성체),Cresol(all isomers)(Inhalable fraction and vapor),CH3C6H4OH,-,22,-,-,"[1319-77-3] Skin, 흡입성 및 증기",1319-77-3
534,95-48-7,크레졸(모든 이성체),Cresol(all isomers)(Inhalable fraction and vapor),CH3C6H4OH,-,22,-,-,"[95-48-7] Skin, 흡입성 및 증기",95-48-7
535,14977-61-8,크로밀 클로라이드,Chromyl chloride,CrO2Cl,0.025,-,-,-,"[14977-61-8] 발암성 1A, 생식세포 변이원성 1B",14977-61-8
536,4170-30-3,크로톤알데히드,Crotonaldehyde,CH3CHCHCHO,2,-,-,-,"[4170-30-3] 발암성 2, 생식세포 변이원성 2, Skin",4170-30-3
537,7440-47-3,크롬광 가공(크롬산),"Chromite ore processing(Chromate), as Cr",Cr,-,0.05,-,-,[7440-47-3] 발암성 1A ,7440-47-3
538,7440-47-3,크롬(금속),Chromium(Metal),Cr,-,0.5,-,-,[7440-47-3] ,7440-47-3
539,18540-29-9,크롬(6가)화합물(불용성무기화합물),Chromium(Ⅵ)compounds(Water insoluble inorganic compounds),Cr,-,0.01,-,-,[18540-29-9] 발암성 1A ,18540-29-9
540,18540-29-9,크롬(6가)화합물(수용성),Chromium(Ⅵ)compounds(Water soluble),Cr,-,0.05,-,-,[18540-29-9] 발암성 1A,18540-29-9
541,7758-97-6,크롬산 연,"Lead chromate, as Cr",PbCrO4,-,0.012,-,-,"[7758-97-6] 발암성 1A, 생식독성 1A",7758-97-6
542,7758-97-6,크롬산 연,"Lead chromate, as Pb",PbCrO4,-,0.05,-,-,"[7758-97-6] 발암성 1A, 생식독성 1A ",7758-97-6
543,11103-86-9,크롬산 아연,"Zinc chromates, as Cr",ZnCr2O4,-,0.01,-,-,[11103-86-9] 발암성 1A ,11103-86-9
543,13530-65-9,크롬산 아연,"Zinc chromates, as Cr",ZnCrO4,-,0.01,-,-,[13530-65-9] 발암성 1A ,13530-65-9
543,37300-23-5,크롬산 아연,"Zinc chromates, as Cr",ZnCr2O7,-,0.01,-,-,[37300-23-5] 발암성 1A ,37300-23-5
544,7440-47-3,크롬(2가)화합물,"Chromium(Ⅱ)compounds, as Cr",Cr,-,0.5,-,-,[7440-47-3] ,7440-47-3
545,7440-47-3,크롬(3가)화합물,"Chromium(Ⅲ)compounds, as Cr",Cr,-,0.5,-,-,[7440-47-3] ,7440-47-3
546,299-86-5,크루포메이트,Crufomate,C12H19CINO3P,-,5,-,20,[299-86-5] ,299-86-5
547,218-01-9,크리센,Chrysene,C18H12,-,-,-,-,"[218-01-9] 발암성 1B, 생식세포 변이원성 2",218-01-9
548,106-42-3,크실렌(모든 이성체),Xylene(all isomers),C6H4(CH3)2,100,-,150,-,[106-42-3] ,106-42-3
548,108-38-3,크실렌(모든 이성체),Xylene(all isomers),C6H4(CH3)2,100,-,150,-,[108-38-3] ,108-38-3
548,1330-20-7,크실렌(모든 이성체),Xylene(all isomers),C6H4(CH3)2,100,-,150,-,[1330-20-7] ,1330-20-7
548,95-47-6,크실렌(모든 이성체),Xylene(all isomers),C6H4(CH3)2,100,-,150,-,[95-47-6] ,95-47-6
549,1300-73-8,크실리딘,Xylidine,(CH3)2C6H3NH2,0.5,,,,[1300-73-8] 디메틸아미노벤젠 참조,1300-73-8
550,600-25-9,1-클로로-1-니트로프로판,1-Chloro-1-nitropropane,C2H5ClNO2,2,-,-,-,[600-25-9] ,600-25-9
551,53469-21-9,클로로디페닐(42% 염소),Chlorodiphenyl(42% Chlorine),C12H7Cl3,-,1,-,-,[53469-21-9] Skin,53469-21-9
552,11097-69-1,클로로디페닐(54% 염소),Chlorodiphenyl(54% Chlorine),C12H5Cl5,-,0.5,-,-,"[11097-69-1] 발암성 2, Skin",11097-69-1
553,75-45-6,클로로디플루오로메탄,Chlorodifluoromethane,CHClF2,1000,-,1250,-,[75-45-6] ,75-45-6
554,107-30-2,클로로메틸 메틸에테르,Chloromethyl methylether,C2H5ClO,-,-,-,-,[107-30-2] 발암성 1A ,107-30-2
555,55965-84-9,2-메틸-3(2H)-이소시아졸론과 5-클로로-2-메틸-3(2H)-이소시아졸론의 혼합물,"5-Chloro-2-methyl-3(2H)-isothiazolone, mixt. with 2-methyl-3(2H)-isothiazolone (Inhalable fraction)",C4H4ClNOS·C4H5NOS,-,0.1,-,-,[55965-84-9] 흡입성,55965-84-9
556,108-90-7,클로로벤젠,Chlorobenzene,C6H5Cl,10,-,20,-,[108-90-7] 발암성 2,108-90-7
557,126-99-8,"2-클로로-1,3-부타디엔","2-Chloro-1,3-butadiene",CH2CClCHCH2,10,-,-,-,"[126-99-8] 발암성 1B, Skin",126-99-8
558,74-97-5,클로로브로모메탄,Chlorobromomethane,CH2BrCl,200,,250,,[74-97-5] 브로모클로로메탄 참조,74-97-5
559,107-20-0,클로로아세트알데히드,Chloroacetaldehyde,ClCH2CHO,-,-,C1,-,[107-20-0] 발암성 2,107-20-0
560,79-11-8,클로로아세틱액시드,Chloroacetic acid(Inhalable fraction and vapor),CH2ClCOOH,-,2,-,4,[79-11-8] 흡입성 및 증기,79-11-8
561,79-04-9,클로로아세틸 클로라이드,Chloroacetyl chloride,ClCH2COCl,0.05,-,-,-,[79-04-9] Skin,79-04-9
562,106-89-8,2-클로로에탄올,2-Chloroethanol,CH2ClCH2OH,0.5,,,,[106-89-8] 에틸렌 클로로하이드린 참조,106-89-8
563,75-01-4,클로로에틸렌,Chloroethylene,CH2CHCl,1,-,-,-,[75-01-4] 발암성 1A ,75-01-4
564,106-89-8,"1-클로로-2,3-에폭시 프로판","1-Chloro-2,3-epoxy propane",C3H5OCl,0.5,,,,[106-89-8] 에피클로로히드린 참조,106-89-8
565,1929-82-4,2-클로로-6-(트리클로로메틸)피리딘,2-Chloro-6-(trichloromethyl)pyridine,C6H3Cl4N,-,10,-,20,[1929-82-4] ,1929-82-4
566,76-15-3,클로로펜타플루오로에탄,Chloropentafluoro ethane,ClCF2CF3,1000,-,-,-,[76-15-3] ,76-15-3
567,67-66-3,클로로포름,Chloroform,CHCl3,10,,,,[67-66-3] 트리클로로메탄 참조,67-66-3
568,76-06-2,클로로피크린,Chloropicrin,CCl3NO2,0.1,-,0.3,-,[76-06-2] ,76-06-2
